application,protocol_category,contract_address,contract_role,label_type,source_url,etherscan_verified,first_block,abi_url,notes
Aave V3 (Ethereum),Lending,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Pool (LendingPool proxy),Proxy:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1},Yes,12914914,:contentReference[oaicite:2]{index=2},"Main Aave V3 liquidity pool proxy on Ethereum; manages deposits, borrows, and repayments."
Aave V3 (Ethereum),Lending,0x2f39d4d1973e5df8e0dcd69b4ad8fc09c71b4e9e,PoolAddressesProvider,Proxy:contentReference[oaicite:3]{index=3},Yes,12914907,:contentReference[oaicite:4]{index=4},"Registry of pool addresses (upgradeable); holds references to Pool, Configurator, etc."
Aave V3 (Ethereum),Lending,0x64b761d848206f447fe2dd461b0c635ec848bB27,PoolConfigurator,Proxy:contentReference[oaicite:5]{index=5},Yes,12914919,:contentReference[oaicite:6]{index=6},"Manages listing & configuration of Aave V3 assets (reserves, collateral parameters)."
Aave V3 (Ethereum),Lending,0xc2aa15dc299eaeb7f8e4e8c0d6bf84c1c9c885b0,ACLManager,Proxy:contentReference[oaicite:7]{index=7},Yes,12914943,:contentReference[oaicite:8]{index=8},"Access Control manager for permissions (governance roles) in Aave V3."
Aave V3 (Ethereum),Lending,0x8164cc65827dcfe994ab23944cbc90e0aa80bFcb,DefaultIncentivesController,Proxy:contentReference[oaicite:9]{index=9},Yes,12915015,:contentReference[oaicite:10]{index=10},"Rewards distribution controller for Aave V3 (handles reward emissions to suppliers/borrowers)."
Aave V2 (Ethereum),Lending,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,LendingPoolAddressesProvider,Proxy:contentReference[oaicite:11]{index=11},Yes,10001074,:contentReference[oaicite:12]{index=12},"Registry for Aave V2 core contract addresses:contentReference[oaicite:13]{index=13} (mainnet market). Provides the address of the active LendingPool."
Aave V2 (Ethereum),Lending,0x7d2768dE32b0b80b7a3454c06BdAcA9cFafc97eA,LendingPool,Proxy:contentReference[oaicite:14]{index=14},Yes,11362579,:contentReference[oaicite:15]{index=15},"Main Aave V2 liquidity pool proxy; handles user deposits, borrows, repayments (deprecated by V3)."
Uniswap V2,DEX (AMM),0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,UniswapV2 Factory,Contract,Yes,10000835,,"Factory for Uniswap V2 pools (Pairs) on Ethereum; emits PairCreated events for each new pool."
Uniswap V2,DEX (AMM),0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,UniswapV2 Router02,Contract:contentReference[oaicite:19]{index=19},Yes,10207858,,"Primary router for Uniswap V2 on Ethereum:contentReference[oaicite:21]{index=21} (provides swap/add liquidity functions)."
Uniswap V3,DEX (AMM),0x1F98431c8aD98523631AE4a59f267346ea31F984,UniswapV3 Factory,Contract:contentReference[oaicite:22]{index=22},Yes,12369621,:contentReference[oaicite:23]{index=23},"Factory for Uniswap V3 pools on Ethereum:contentReference[oaicite:24]{index=24}; deploys new pools for each token pair & fee tier."
Uniswap V3,DEX (AMM),0xE592427A0AEce92De3Edee1F18E0157C05861564,UniswapV3 SwapRouter (V1),Contract:contentReference[oaicite:25]{index=25},Yes,12537778,:contentReference[oaicite:26]{index=26},"Uniswap V3 periphery SwapRouter:contentReference[oaicite:27]{index=27} (single-path swaps)."
Uniswap V3,DEX (AMM),0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3 SwapRouter02,Contract:contentReference[oaicite:28]{index=28},Yes,14737933,:contentReference[oaicite:29]{index=29},"Updated Uniswap V3 router supporting multi-hop swaps and permit2:contentReference[oaicite:30]{index=30}."
Uniswap V3,DEX (AMM),0xC36442b4a4522E871399CD717aBDD847Ab11FE88,UniswapV3 NFT Position Manager,Proxy:contentReference[oaicite:31]{index=31},Yes,12387316,:contentReference[oaicite:32]{index=32},"Nonfungible Position Manager:contentReference[oaicite:33]{index=33} (Uniswap V3 LP positions as ERC-721 NFTs; includes mint/burn of liquidity positions)."
Curve Finance,DEX (AMM),0x0000000022D53366457F9d5E68Ec105046FC4383,Curve DAO (veCRV) Proxy,Proxy:contentReference[oaicite:34]{index=34},Yes,10647894,:contentReference[oaicite:35]{index=35},"Curve VotingEscrow (veCRV) contract proxy – time-locks CRV for voting power (not a pool)."
Curve Finance,DEX (AMM),0x5f3b5DfEb7B28CDbD7FAba78963EE202a494e2A2,Curve DAO (veCRV) Implementation,Contract:contentReference[oaicite:36]{index=36},Yes,10647884,:contentReference[oaicite:37]{index=37},"Implementation for VotingEscrow (veCRV):contentReference[oaicite:38]{index=38}. Proxy target for locking CRV tokens."
Curve Finance,DEX (AMM),0xAa5A67c256e27A5d80712c51971408db3370927D,Curve StableSwapFactory,Contract,Yes,12909468,,"Curve factory for metapools (deploys new StableSwap pools). Facilitates creating new Curve liquidity pools permissionlessly."
Curve Finance,DEX (AMM),0xE2e6D4BE086c6938B53B22144855eef674281639,Curve CryptoSwapFactory,Contract,Yes,13306628,,"Curve factory for crypto pools (non-stable assets)."
Curve Finance,DEX (AMM),0xd1B5651E55D4CeeD36251c61c50C889B36F6abB5,Curve TriCryptoPool (USDT/wBTC/ETH),Contract:contentReference[oaicite:45]{index=45},Yes,13001929,:contentReference[oaicite:46]{index=46},"Example Curve V2 pool (TriCrypto):contentReference[oaicite:47]{index=47}; holds 3-crypto basket, one of largest pools on Ethereum."
Lido (stETH),Liquid Staking (LSD),0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Lido Staked ETH (stETH) Token,Proxy:contentReference[oaicite:48]{index=48},Yes,11273710,:contentReference[oaicite:49]{index=49},"Lido stETH token (rebasing) proxy contract:contentReference[oaicite:50]{index=50}. Users receive stETH upon staking ETH; balances update as rewards accrue."
Lido (stETH),Liquid Staking (LSD),0xE0db3A1EF2581977eEdC0E7Da1e4C3E001Bc3b2F,Lido Staking Pool (v2) Contract,Proxy:contentReference[oaicite:51]{index=51},Yes,17137118,:contentReference[oaicite:52]{index=52},"Lido main staking contract (v2) – entry point for deposits:contentReference[oaicite:53]{index=53}. Accepts ETH and mints stETH; manages buffer & routing to node operators."
Lido (stETH),Liquid Staking (LSD),0xB9D7DdDca9a4AC480991865E68b0Fff175D0c56b,Lido WithdrawalQueue (unstETH),Contract:contentReference[oaicite:54]{index=54},Yes,17137118,:contentReference[oaicite:55]{index=55},"Lido Withdrawal Queue (ERC721):contentReference[oaicite:56]{index=56} contract for Shapella-enabled withdrawals. Issues unstETH NFTs representing pending withdrawals."
